Fecha,Region,Estado,Municipio,Marca,Estacion,Permiso CRE,Direccion,Regular,Premium,Diesel
2026-08-19,Centro,México,Huixquilucan,,SERVICIO LOMAS DE LAS PALMAS SA DE CV,PL/1356/EXP/ES/2015,,23.37,27.65,26.52
2026-08-19,Noroeste,Baja California,Tijuana,,ESTACION ORO SA DE CV,PL/1941/EXP/ES/2015,,22.84,27.83,26.76
2026-08-19,Sureste,Quintana Roo,Tulum,,COMBUSTIBLES DE TULUM Y DEL CARIBE SA DE CV,PL/7688/EXP/ES/2015,,22.60,28.03,
2026-08-19,Noroeste,Baja California,Tijuana,,BECKTROP OPERADORA SA DE CV,PL/1297/EXP/ES/2015,,22.67,27.62,26.55
2026-08-19,Sureste,Yucatán,Mérida,,COMBUSTIBLES CHUBURNA SA DE CV,PL/5186/EXP/ES/2015,,22.82,28.91,26.94
2026-08-19,Centro,Querétaro,Querétaro,,ESTACIONES DE SERVICIO SA DE CV,PL/2356/EXP/ES/2015,,22.97,28.86,
2026-08-19,Norte,Chihuahua,Juárez,,CONSORCIO GASOLINERO PLUS SA DE CV,PL/7858/EXP/ES/2015,,24.39,29.02,27.03
2026-08-19,Norte,Chihuahua,Chihuahua,,PETROMALL 24 HORAS SA DE CV,PL/3808/EXP/ES/2015,,22.91,,27.66
2026-08-19,Centro,Puebla,Libres,,JOSE LUIS DOMINGUEZ ISLAS,PL/5951/EXP/ES/2015,,22.83,27.75,
2026-08-19,Centro,Puebla,Tecamachalco,,ALEJANDRO ROBLES MENDEZ,PL/8349/EXP/ES/2015,,24.42,28.97,27.32
2026-08-19,Centro,Morelos,Cuernavaca,,ESTACION MARCEJO SA DE CV,PL/24352/EXP/ES/2022,,22.59,27.98,27.06
2026-08-19,Centro,Querétaro,Corregidora,,COMERCIALIZADORA GUIPTON SA DE CV,PL/3918/EXP/ES/2015,,22.59,29.19,
2026-08-19,Sur,Guerrero,Técpan de Galeana,,SALYMA COMBUSTIBLES SA DE CV,PL/23697/EXP/ES/2020,,22.94,28.65,27.61
2026-08-19,Sureste,Quintana Roo,Solidaridad,,ENERGETICOS ABC S A P I DE CV,PL/6505/EXP/ES/2015,,24.06,27.70,27.25
2026-08-19,Occidente,Michoacán,Zitácuaro,,KOPLA S DE RL DE CV,PL/6450/EXP/ES/2015,,22.55,27.52,
2026-08-19,Occidente,Aguascalientes,Aguascalientes,,SERVICIO INDEPENDENCIA SA DE CV,PL/7141/EXP/ES/2015,,23.17,28.09,27.79
2026-08-19,Norte,Chihuahua,Guachochi,,ADAN LOYA GARCIA,PL/8010/EXP/ES/2015,,24.24,29.39,27.28
2026-08-19,Centro,Puebla,Altepexi,,DISTRIBUIDORA COMSUR SA DE CV,PL/21271/EXP/ES/2018,,23.86,,
2026-08-19,Golfo,Veracruz,Oteapan,,SERVICIO FACIL DEL SURESTE SA DE CV,PL/6200/EXP/ES/2015,,24.17,29.09,27.09
2026-08-19,Norte,Chihuahua,Chihuahua,,MARGARITA SOLIS MUÑIZ,PL/9975/EXP/ES/2015,,23.78,28.15,27.57
2026-08-19,Occidente,Guanajuato,León,,MEGA GASOLINERAS SA DE CV,PL/1171/EXP/ES/2015,,23.31,29.13,
2026-08-19,Centro,México,Tepotzotlán,,SERVICIO GASOLINERO SANTA CRUZ DEL MONTE S.A. DE C.V.,PL/21993/EXP/ES/2018,,23.53,29.27,27.46
2026-08-19,Noroeste,Baja California Sur,No especificado,,JAVIER VILLAVICENCIO MURILLO,PL/7378/EXP/ES/2015,,23.88,28.48,27.02
2026-08-19,Golfo,Veracruz,Boca del Río,,GASOLINERIA LAS AMERICAS SA DE CV,PL/4666/EXP/ES/2015,,22.82,27.72,
2026-08-19,Sur,Guerrero,Teloloapan,,ROBERTO HURTADO MOJICA,PL/7551/EXP/ES/2015,,23.48,27.51,27.56
2026-08-19,Noreste,Tamaulipas,Reynosa,,PETROMAX SA DE CV,PL/522/EXP/ES/2015,,23.06,29.26,27.37
2026-08-19,Centro,Puebla,Puebla,,ESTACION DE SERVICIO PERIFERICO COATEPEC SA DE CV,PL/7774/EXP/ES/2015,,24.08,27.51,
2026-08-19,Sureste,Yucatán,Peto,,GASOLINERA ROMA SA DE CV,PL/6336/EXP/ES/2015,,24.47,,27.29
2026-08-19,Noreste,Nuevo León,Monterrey,,PETROMAX SA DE CV,PL/427/EXP/ES/2015,,23.61,27.72,27.99
2026-08-19,Norte,Chihuahua,Juárez,,ALMACENES DISTRIBUIDORES DE LA FRONTERA SA DE CV,PL/2273/EXP/ES/2015,,23.14,27.89,
2026-08-19,Centro,Querétaro,Arroyo Seco,,EDMUNDO SANCHEZ OROZCO,PL/4605/EXP/ES/2015,,24.35,27.59,27.46
2026-08-19,Centro,Tlaxcala,Tetla de la Solidaridad,,SERVICIO SANTIAGO TETLA SA DE CV,PL/4376/EXP/ES/2015,,24.24,29.04,27.00
2026-08-19,Occidente,Guanajuato,Celaya,,GRUPO URANUS SA DE CV,PL/2833/EXP/ES/2015,,23.05,29.33,
2026-08-19,Noreste,Nuevo León,Apodaca,,GAS EL PARQUE SA DE CV,PL/3916/EXP/ES/2015,,24.36,28.89,27.40
2026-08-19,Norte,Durango,Gómez Palacio,,ENERGIA Y SERVICIOS COORDINADOS SA DE CV,PL/11521/EXP/ES/2015,,22.75,29.40,27.57
2026-08-19,Centro,México,Ecatepec de Morelos,,GAZPRO SA DE CV,PL/25120/EXP/ES/2023,,23.05,27.89,
2026-08-19,Noreste,Coahuila,Ocampo,,ARMANDO SOLIS ARIZPE,PL/5211/EXP/ES/2015,,23.27,28.47,26.78
2026-08-19,Noreste,San Luis Potosí,San Luis Potosí,,CORPOE SA DE CV,PL/7087/EXP/ES/2015,,23.30,,27.28
2026-08-19,Centro,México,Ecatepec de Morelos,,GASOLINERIA RECOLETOS S DE RL DE CV,PL/1742/EXP/ES/2015,,23.85,29.15,
2026-08-19,Centro,México,Nextlalpan,,EXPENDEDORA DE SERVICIOS MEXIQUENSE SA DE CV,PL/20667/EXP/ES/2017,,23.94,28.81,27.56
2026-08-19,No especificado,No especificado,No especificado,,TRANSPORTES MARVA S.A. DE C.V.,PL/25398/EXP/ESA/2023,,23.08,28.89,27.53
2026-08-19,Noroeste,Sinaloa,Ahome,,ESTACION DE SERVICIOS VALBEMO SA DE CV,PL/3102/EXP/ES/2015,,22.77,28.74,
2026-08-19,Noroeste,Sonora,Caborca,,ESTACION DE SERVICIO PUERTA GRANDE S DE RL DE CV,PL/6282/EXP/ES/2015,,23.08,28.30,27.83
2026-08-19,Noreste,Nuevo León,Linares,,GRUPO RESIDENCIAL LINARES SA DE CV,PL/5414/EXP/ES/2015,,24.36,28.27,27.58
2026-08-19,Golfo,Veracruz,Pueblo Viejo,,SERVICIO YU GAR SA DE CV,PL/2713/EXP/ES/2015,,24.25,28.28,
2026-08-19,Occidente,Michoacán,Uruapan,,PETRO CUPATITZIO SA DE CV,CNE/PL/193/EXP/ES/2025,,22.93,29.08,27.45
2026-08-19,Noreste,San Luis Potosí,San Luis Potosí,,VALE SERVICIOS GASOLINEROS SA DE CV,PL/19273/EXP/ES/2016,,23.31,28.77,27.06
2026-08-19,Golfo,Tabasco,Centro,,SERVICIO LAGUNAS MONTEROS SA DE CV,PL/5376/EXP/ES/2015,,23.66,,
2026-08-19,Centro,Ciudad de México,Iztacalco,,SERVICIO APATLACO SA DE CV,PL/5330/EXP/ES/2015,,24.43,27.60,27.78
2026-08-19,Centro,Hidalgo,Pachuca de Soto,,ESTACION DE SERVICIO ARIEL SA DE CV,PL/13302/EXP/ES/2016,,23.35,28.74,26.98
2026-08-19,Occidente,Jalisco,Puerto Vallarta,,COMBUSTIBLES DE LA BAHIA SA DE CV,PL/4345/EXP/ES/2015,,23.19,28.90,
2026-08-19,Noroeste,Sinaloa,Angostura,,SERVIAVILAS SA DE CV,PL/13680/EXP/ES/2016,,22.96,29.45,27.11
2026-08-19,Occidente,Jalisco,Tlaquepaque,,TURBOSIMBA S.A. DE C.V.,PL/19087/EXP/ES/2016,,23.29,28.53,27.26
2026-08-19,Centro,México,Tecámac,,"ESTACIÓN DE SERVICIO EL TRIÁNGULO, S.A. DE C.V.",PL/21008/EXP/ES/2018,,23.66,27.54,
2026-08-19,Centro,México,Valle de Bravo,,GAS LA CAÑADA SA DE CV,PL/3159/EXP/ES/2015,,23.59,27.68,27.26
2026-08-19,Noreste,Nuevo León,Monterrey,,ORSAN DEL NORTE SA DE CV,PL/2157/EXP/ES/2015,,24.39,27.89,27.19
2026-08-19,Centro,México,Temascalcingo,,JAIME IGNACIO VALDES GARDUÑO,PL/3551/EXP/ES/2015,,24.11,28.11,
2026-08-19,Occidente,Guanajuato,San Felipe,,MEGA GASOLINERAS SA DE CV,PL/22626/EXP/ES/2019,,23.83,,27.95
2026-08-19,Noroeste,Nayarit,Tepic,,GAZPRO SA DE CV,PL/25470/EXP/ES/2024,,24.22,28.79,26.55
2026-08-19,Noreste,San Luis Potosí,San Luis Potosí,,SERVICIO EL LEONCITO SA DE CV,PL/19311/EXP/ES/2016,,22.72,29.08,
2026-08-19,Occidente,Guanajuato,Jerécuaro,,YOLANDA PEREZ AVILA,PL/12796/EXP/ES/2015,,24.43,28.10,27.00
2026-08-19,Golfo,Veracruz,Omealca,,ALICIA RODRIGUEZ CARMONA,PL/7444/EXP/ES/2015,,23.31,28.97,27.95
2026-08-19,Centro,México,No especificado,,BP ESTACIONES Y SERVICIOS ENERGETICOS SA DE CV,PL/11991/EXP/ES/2015,,22.84,28.28,
2026-08-19,Occidente,Guanajuato,Salamanca,,MEGA GASOLINERAS SA DE CV,PL/20015/EXP/ES/2017,,24.01,28.08,27.77
2026-08-19,Golfo,Veracruz,Xalapa,,IMPULSORA DE XALAPA SA DE CV,PL/7106/EXP/ES/2015,,23.52,28.59,27.09
2026-08-19,Centro,Puebla,Puebla,,LA ISLA HIDROCARBUROS DEL SUR SA DE CV,PL/24741/EXP/ES/2022,,23.83,28.02,
2026-08-19,Centro,México,Ecatepec de Morelos,,LAS MEJORES ESTACIONES SA DE CV,PL/11479/EXP/ES/2015,,23.52,29.43,27.38
2026-08-19,Occidente,Michoacán,Uruapan,,SERVICIO ANAVE SA DE CV,PL/8879/EXP/ES/2015,,24.21,,26.54
2026-08-19,Norte,Chihuahua,Juárez,,SERVICIO GALEANA SA DE CV,PL/7861/EXP/ES/2015,,24.23,28.71,
2026-08-19,Noreste,Nuevo León,Juárez,,PETROMAX SA DE CV,CNE/PL/603/EXP/ES/2026,,23.33,28.34,27.46
2026-08-19,Centro,México,Cuautitlán Izcalli,,INMOBILIARIA EL CUTIRO SA DE CV,PL/18797/EXP/ES/2016,,24.34,28.97,27.90
2026-08-19,Noroeste,Sonora,Cajeme,,EL 19 COMBUSTIBLES SA DE CV,CNE/PL/635/EXP/ES/2026,,22.64,28.67,
2026-08-19,Occidente,Guanajuato,Irapuato,,SERVICIO GASOLINERO ABASTOS DE IRAPUATO SA DE CV,PL/1187/EXP/ES/2015,,22.50,28.58,27.36
2026-08-19,Centro,Puebla,Ixtacamaxtitlán,,COMBUSTIBLES GRUPO PC SA DE CV,PL/2235/EXP/ES/2015,,22.65,29.34,27.78
2026-08-19,Occidente,Zacatecas,Zacatecas,,GASISLO 2000 SA DE CV,PL/4745/EXP/ES/2015,,22.97,29.41,
2026-08-19,Occidente,Jalisco,Tlajomulco de Zúñiga,,ANTONIO NAÑEZ BUGARIN,CNE/PL/202/EXP/ES/2025,,23.60,27.99,27.79
2026-08-19,Centro,México,Chalco,,SERVICIO SALSUA SA DE CV,PL/20548/EXP/ES/2017,,23.34,28.81,27.11
2026-08-19,Occidente,Michoacán,Pajacuarán,,SERVICIO VALLE DE LA LUZ SA DE CV,PL/5741/EXP/ES/2015,,23.01,,
2026-08-19,Centro,Puebla,Puebla,,GASOLINERA CASTILLOTLA SA DE CV,PL/5792/EXP/ES/2015,,23.79,28.99,27.00
2026-08-19,Noroeste,Sinaloa,Mazatlán,,GASOLINERA PESQUEIRA SA DE CV,PL/23742/EXP/ES/2021,,24.01,29.14,27.52
2026-08-19,Norte,Chihuahua,Juárez,,SERVICIO NUEVO MILENIO SA DE CV,PL/5850/EXP/ES/2015,,22.80,29.08,
2026-08-19,Occidente,Jalisco,Zapopan,,LOSA GAS SA DE CV,PL/21122/EXP/ES/2018,,23.00,28.46,26.81
2026-08-19,Noreste,Tamaulipas,Valle Hermoso,,GRUPO SAYATH SA DE CV,PL/24283/EXP/ES/2022,,24.17,27.58,27.08
2026-08-19,Noroeste,Sinaloa,Culiacán,,PETROPLAZAS SA DE CV,PL/4876/EXP/ES/2015,,24.48,29.08,
2026-08-19,Centro,Puebla,Puebla,,SINERGIA DE ENERGETICOS SA DE CV,PL/6383/EXP/ES/2015,,23.03,27.69,27.61
2026-08-19,Centro,Puebla,Hueyapan,,GASOLINERA HUEYAPAN SA DE CV,PL/25953/EXP/ES/2024,,23.37,28.76,26.71
2026-08-19,Occidente,Michoacán,Morelia,,GILBERTO RIVERA MARTINEZ,PL/8895/EXP/ES/2015,,22.66,28.02,
2026-08-19,Centro,Querétaro,Querétaro,,COMERCIALIZADORA GUIPTON SA DE CV,PL/9166/EXP/ES/2015,,23.72,,26.53
2026-08-19,Centro,Querétaro,Querétaro,,SERVICIO INTEMPO SA DE CV,PL/24162/EXP/ES/2022,,23.96,28.00,27.05
2026-08-19,Occidente,Guanajuato,San Francisco del Rincón,,SERVICIOS CEMENTOS SA DE CV,PL/2867/EXP/ES/2015,,23.64,29.50,
2026-08-19,Norte,Durango,Tamazula,,GASOLINERA TAMAZULA SA DE CV,PL/5200/EXP/ES/2015,,22.73,28.40,27.38
2026-08-19,Noroeste,Baja California,Tijuana,,BP ESTACIONES Y SERVICIOS ENERGETICOS SA DE CV,PL/780/EXP/ES/2015,,23.70,28.17,27.74
2026-08-19,Centro,Puebla,Izúcar de Matamoros,,GRUPO RAPACASI CC SA DE CV,PL/22227/EXP/ES/2019,,23.00,29.02,
2026-08-19,Centro,Hidalgo,Tula de Allende,,"SOCIEDAD COOPERATIVA DE PRODUCCION Y PRESTACION DE SERVICIOS CUAUHTEMOC, S.C.L.",PL/12928/EXP/ESA/2015,,24.44,28.97,26.50
2026-08-19,Centro,México,Naucalpan de Juárez,,SERVICIO MAPEDI SA DE CV,PL/25359/EXP/ES/2023,,23.11,28.15,28.00
2026-08-19,Centro,México,Zumpango,,INMUEBLES VENTA DE CARPIO SA DE CV,PL/2940/EXP/ES/2015,,23.74,27.79,
2026-08-19,Centro,Puebla,Palmar de Bravo,,COMBUSTIBLES MAX SA DE CV,PL/12766/EXP/ES/2015,,22.66,27.59,26.69
2026-08-19,Centro,Querétaro,Querétaro,,GRUPO PALMA CYCA SA DE CV,PL/22856/EXP/ES/2019,,24.00,,27.91
2026-08-19,Centro,México,Tecámac,,SERVICIOS GLAMA SA DE CV,PL/18967/EXP/ES/2016,,23.22,28.07,
2026-08-19,Centro,Ciudad de México,Miguel Hidalgo,,ESTACION DE SERVICIO BOLONIA S DE RL DE CV,PL/21363/EXP/ES/2018,,24.02,29.21,26.68
2026-08-19,Centro,Ciudad de México,Gustavo A. Madero,,ALEJANDRO MARIO OCHOA FRAGOSO,PL/9723/EXP/ES/2015,,23.59,28.48,27.75
2026-08-19,Centro,Ciudad de México,Álvaro Obregón,,ESTACION DE CARGA PERIFERICO SUR LM S DE RL DE CV,PL/8139/EXP/ES/2015,,23.84,27.72,
2026-08-19,Centro,Morelos,Cuautla,,ERIKA SOTELO ELOISA,PL/12794/EXP/ES/2015,,23.99,27.85,27.96
2026-08-19,Norte,Chihuahua,Delicias,,SUPRAGAS SA DE CV,CNE/PL/226/EXP/ES/2025,,24.48,28.01,27.39
2026-08-19,Centro,México,Cuautitlán Izcalli,,LUNA GAS SA DE CV,PL/10584/EXP/ES/2015,,23.49,28.02,
2026-08-19,Centro,México,Calimaya,,SERVICIO MAZACHULCO SA DE CV,PL/6390/EXP/ES/2015,,22.99,27.64,27.31
2026-08-19,Sur,Guerrero,Acapulco de Juárez,,ALCARAZ SOBERANIS SA DE CV,PL/4334/EXP/ES/2015,,24.13,28.87,27.42
2026-08-19,Golfo,Veracruz,Minatitlán,,SERVICIO FACIL DEL SURESTE SA DE CV,PL/6203/EXP/ES/2015,,23.65,,
2026-08-19,Occidente,Jalisco,Guadalajara,,ESTACION ARB SA DE CV,PL/2182/EXP/ES/2015,,22.93,28.10,27.02
2026-08-19,Noroeste,Baja California,Tijuana,,ESTACION RAEL S DE RL DE CV,PL/19941/EXP/ES/2017,,24.17,27.61,26.80
2026-08-19,Centro,Ciudad de México,Miguel Hidalgo,,CONSORCIO GASOLINERO PLUS SA DE CV,PL/3211/EXP/ES/2015,,23.81,29.47,
2026-08-19,Centro,Morelos,Cuernavaca,,SERVICIO TEOPANZOLCO SA DE CV,PL/9635/EXP/ES/2015,,22.57,28.42,27.25
2026-08-19,Noroeste,Sonora,General Plutarco Elías Calles,,THE DIAMOND R.I.A. SA DE CV,PL/5710/EXP/ES/2015,,23.79,29.07,26.58
2026-08-19,Centro,Querétaro,Colón,,GPDC ESTACIONES DE SERVICIO SA DE CV,PL/4552/EXP/ES/2015,,23.04,29.21,
2026-08-19,Centro,Hidalgo,Ixmiquilpan,,Parque de Diversiones Acuaticas El Nuevo Tephe SA,PL/7185/EXP/ES/2015,,23.18,28.95,26.53
2026-08-19,Noroeste,Sinaloa,Culiacán,,777 MSI DIAMANTE SA DE CV,PL/24314/EXP/ES/2022,,23.76,28.19,27.64
2026-08-19,Centro,México,Nezahualcóyotl,,SERVICIO BAHAMAS SA DE CV,PL/1874/EXP/ES/2015,,24.00,28.61,
2026-08-19,Golfo,Veracruz,Chalma,,PETROKIN SA DE CV,PL/23518/EXP/ES/2020,,23.67,,26.93
2026-08-19,Centro,México,Miguel Hidalgo,,FUENTE DE CARGA PREFECTA SA DE CV,PL/6366/EXP/ES/2015,,22.76,28.88,26.82
2026-08-19,Sureste,Quintana Roo,Benito Juárez,,PETROLIFEROS DEL CARIBE SA DE CV,PL/26176/EXP/ES/2025,,24.39,28.38,
2026-08-19,Occidente,Jalisco,Guadalajara,,COMBUSTIBLES EL AMIAL SA DE CV,PL/20059/EXP/ES/2017,,24.01,27.74,27.41
2026-08-19,Occidente,Jalisco,Zapopan,,SERVICIO TEPETITLAN SA DE CV,PL/25539/EXP/ES/2024,,23.36,28.62,27.55
2026-08-19,Occidente,Jalisco,Guadalajara,,ENERGETICOS PLUS SA DE CV,PL/6769/EXP/ES/2015,,23.39,28.99,
2026-08-19,Noreste,Tamaulipas,Reynosa,,AUTOSERVICIO RAMGAS SA DE CV,CNE/PL/781/EXP/ES/2026,,24.05,29.39,27.89
2026-08-19,Golfo,Veracruz,Perote,,GRUPO GASOLINERO EL MAGUEY S.R.L. DE C.V.,PL/8627/EXP/ES/2015,,22.79,29.00,26.59
2026-08-19,Noreste,Tamaulipas,Reynosa,,PETROMAX SA DE CV,CNE/PL/585/EXP/ES/2025,,22.87,28.42,
2026-08-19,Centro,Ciudad de México,Venustiano Carranza,,ESTACION LA LAGUNA SA DE CV,PL/8462/EXP/ES/2015,,23.55,29.49,27.51
2026-08-19,Noreste,San Luis Potosí,Matehuala,,SERVICIO COLINAS DEL ALTIPLANO SA DE CV,PL/7371/EXP/ES/2015,,24.35,,27.92
2026-08-19,Occidente,Aguascalientes,Aguascalientes,,OPTIMUS ESTACION DE SERVICIO SA DE CV,PL/11484/EXP/ES/2015,,22.79,28.31,
2026-08-19,Sur,Oaxaca,San Pedro Tapanatepec,,ENERGETICOS DE CHAHUITES SA DE CV,PL/6400/EXP/ES/2015,,23.99,27.61,26.91
2026-08-19,Norte,Chihuahua,Chihuahua,,PETROMAX SA DE CV,PL/480/EXP/ES/2015,,23.86,27.86,27.80
2026-08-19,Noreste,Tamaulipas,Tampico,,GRUPO GASOLINERO Y AUTOMOTRIZ DE TAMAULIPAS SA DE CV,PL/8608/EXP/ES/2015,,23.38,29.24,
2026-08-19,Centro,México,Chimalhuacán,,EVERARDO LARA COVARRUBIAS,PL/8698/EXP/ES/2015,,23.34,29.44,27.49
2026-08-19,Centro,México,Acambay,,CRIMER SA DE CV,PL/1642/EXP/ES/2015,,23.26,28.16,26.82
2026-08-19,Golfo,Tabasco,Centro,,ESTACIONES DE SERVICIO AUTO SA DE CV,PL/20043/EXP/ES/2017,,24.42,27.96,
2026-08-19,Noreste,Nuevo León,Cadereyta Jiménez,,PETRO FUELS ZACATAL SA DE CV,CNE/PL/284/EXP/ES/2025,,24.02,28.80,27.65
2026-08-19,Centro,México,Toluca,,"""SERVICIO ACORUÑA"" SA DE CV",PL/3669/EXP/ES/2015,,23.26,29.30,27.45
2026-08-19,Occidente,Jalisco,El Salto,,GUILLE GASOLGRUPO SA DE CV,PL/2427/EXP/ES/2015,,23.28,,
2026-08-19,Noreste,Tamaulipas,Tampico,,SERVICIO BOULEVARD SA DE CV,PL/8078/EXP/ES/2015,,23.04,27.89,27.42
2026-08-19,Golfo,Veracruz,Ixtaczoquitlán,,KANZ COMBUSTIBLES SA DE CV,PL/2028/EXP/ES/2015,,23.62,28.12,27.98
2026-08-19,Noreste,Coahuila,Saltillo,,SERVICIOS GASOLINEROS DE MEXICO SA DE CV,PL/7957/EXP/ES/2015,,22.68,29.22,
2026-08-19,Golfo,Veracruz,Papantla,,"SUPER SERVICIO PAPANTLA, S.A. DE C.V.",PL/12882/EXP/ES/2015,,23.09,27.96,27.47
2026-08-19,Occidente,Guanajuato,Irapuato,,COMBU-EXPRESS SA DE CV,PL/1014/EXP/ES/2015,,22.58,29.41,26.60
2026-08-19,Occidente,Michoacán,Morelia,,SUPER SERVICIO SANTA MONICA SA DE CV,PL/8742/EXP/ES/2015,,23.62,29.30,
2026-08-19,Noreste,San Luis Potosí,Cerro de San Pedro,,COMBURED SA DE CV,PL/19327/EXP/ES/2016,,22.80,28.05,27.21
2026-08-19,Noroeste,Baja California,No especificado,,SERVICIO CORTEZ SA,PL/1827/EXP/ES/2015,,23.38,28.76,27.44
2026-08-19,Occidente,Jalisco,Tlajomulco de Zúñiga,,GASEGURO SA DE CV,PL/8378/EXP/ES/2015,,24.14,27.72,
2026-08-19,Centro,Hidalgo,Actopan,,ESTACION ACEVEDO S DE RL,PL/6817/EXP/ES/2015,,24.10,,26.60
2026-08-19,Noroeste,Sonora,Nogales,,ESTACION DE SERVICIO CINCO DE MAYO SA DE CV,PL/8722/EXP/ES/2015,,24.23,27.50,27.81
2026-08-19,Golfo,Veracruz,Pánuco,,SERVICIOS INTEGRALES MARINOS COJUMATLAN SA DE CV,PL/6518/EXP/ES/2015,,22.96,28.48,
2026-08-19,Norte,Durango,Gómez Palacio,,SERVICIO GALEANA SA DE CV,PL/21608/EXP/ES/2018,,23.89,28.09,26.71
2026-08-19,Noreste,Tamaulipas,Nuevo Laredo,,"TRANSPORTACIONES INDUSTRIALES GUME, S.A. DE C.V.",PL/11646/EXP/ESA/2015,,22.54,28.46,26.59
2026-08-19,Centro,México,Joquicingo,,ECO GS SA DE CV,PL/10844/EXP/ES/2015,,24.20,29.30,
2026-08-19,Occidente,Guanajuato,Celaya,,SERVICIO GRUPO TEPEYAC SA DE CV,PL/1800/EXP/ES/2015,,24.08,28.89,27.43
2026-08-19,Noroeste,Nayarit,Compostela,,GASOLINERA 18 DE MARZO SA DE CV,PL/3729/EXP/ES/2015,,24.22,27.56,26.89
2026-08-19,Golfo,Veracruz,Veracruz,,"CORPORACION INTEGRAL DE COMERCIO EXTERIOR, S.A. DE C.V.",PL/13367/EXP/ESA/2016,,23.83,27.94,
2026-08-19,Centro,Querétaro,Querétaro,,GPDC ESTACIONES DE SERVICIO SA DE CV,PL/20947/EXP/ES/2018,,23.23,28.98,27.28
2026-08-19,Centro,México,Xonacatlán,,GASOLINERA LA DESVIACION SA DE CV,PL/20447/EXP/ES/2017,,23.58,,27.54
2026-08-19,Centro,Puebla,Huauchinango,,GAZPRO SA DE CV,CNE/PL/579/EXP/ES/2025,,22.90,29.18,
2026-08-19,Sureste,Campeche,Champotón,,E.S.G.E.S SA DE CV,PL/25512/EXP/ES/2024,,23.86,27.54,26.74
2026-08-19,Centro,Puebla,Puebla,,DIEGO ALONSO GONZALEZ SANCHEZ,PL/20534/EXP/ES/2017,,23.06,29.08,26.59
2026-08-19,Noreste,Tamaulipas,Nuevo Laredo,,SERVICIO ARROYO ALAZANAS SA DE CV,PL/13617/EXP/ES/2016,,23.14,28.67,
2026-08-19,Centro,Ciudad de México,Coyoacán,,SERVICIO COYOACAN SA DE CV,PL/3369/EXP/ES/2015,,22.62,28.17,27.84
2026-08-19,Norte,Chihuahua,Juárez,,SUPERSERVICIO CUATRO CAMINOS SA DE CV,PL/6125/EXP/ES/2015,,23.62,27.96,26.99
2026-08-19,Centro,México,Jilotepec,,PETRO 107 SA DE CV,PL/6909/EXP/ES/2015,,24.00,29.29,
2026-08-19,Sureste,Yucatán,Mérida,,SERVICIO PERIFERICO SELNAV SA DE CV,PL/11356/EXP/ES/2015,,22.61,29.16,27.09
2026-08-19,Noroeste,Sonora,Navojoa,,SERVICIO RIO MAYO SA DE CV,PL/4001/EXP/ES/2015,,23.99,28.16,27.95
2026-08-19,Centro,Ciudad de México,Coyoacán,,SERVICIO ESTRIUNFOLI SA DE CV,PL/25759/EXP/ES/2024,,23.48,,
2026-08-19,Sureste,Quintana Roo,Solidaridad,,INMOBILIARIA GARAPULLO SA DE CV,PL/25775/EXP/ES/2024,,23.88,29.13,27.25
2026-08-19,Sureste,Yucatán,Mérida,,COMBUSTIBLES DE YUCATAN SA DE CV,PL/4039/EXP/ES/2015,,23.98,29.04,27.35
